[1.1000e+00 3.9343e+04]
[1.3000e+00 4.6205e+04]
[1.5000e+00 3.7731e+04]
[2.0000e+00 4.3525e+04]
[2.2000e+00 3.9891e+04]
[2.9000e+00 5.6642e+04]
[3.000e+00 6.015e+04]
[3.2000e+00 5.4445e+04]
[3.2000e+00 6.4445e+04]
[3.7000e+00 5.7189e+04]
[3.9000e+00 6.3218e+04]
[4.0000e+00 5.5794e+04]
[4.0000e+00 5.6957e+04]
[4.1000e+00 5.7081e+04]
[4.5000e+00 6.1111e+04]
[4.9000e+00 6.7938e+04]
[5.1000e+00 6.6029e+04]
[5.3000e+00 8.3088e+04]
[5.9000e+00 8.1363e+04]
[6.000e+00 9.394e+04]
[6.8000e+00 9.1738e+04]
[7.1000e+00 9.8273e+04]
[7.90000e+00 1.01302e+05]
[8.20000e+00 1.13812e+05]
[8.70000e+00 1.09431e+05]
[9.00000e+00 1.05582e+05]
[9.50000e+00 1.16969e+05]
[9.60000e+00 1.12635e+05]
[1.03000e+01 1.22391e+05]
[1.05000e+01 1.21872e+05]
